Level,True_Label,Predicted_Label,count,Error_Category,Review
N2,Tráfico de Drogas (Lei 11.343/06),Associação para Tráfico de Droga (Lei 11.343/06),5,Delitos relacionados,Delitos relacionados
N2,Lei de Drogas (Outros) (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,5,Coexistência de delitos,Coexistência de delitos
N2,Atos Administrativos,Recuperação de Veículo,5,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N2,Desacato,Resistência,5,Delitos relacionados,Delitos relacionados
N2,Furto,Roubo,4,Delitos relacionados,Delitos relacionados
N2,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,Descumprimento de Medidas Protetivas de Urgência,4,Delitos relacionados,Delitos relacionados
N3,Desaparecimento outros,Encontro de Desaparecido,19,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N3,Lesão Corporal Culposa (outros) (Lei 9503/97),Lesão Corporal Culposa Provocada por Colisão de Veículo,14,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Recuperação de Veículo Furtado,Recuperação de Veículo Roubado,13,Estados do mesmo processo operacional,Delitos relacionados
N3,Roubo outros,Roubo a Transeunte,11,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Lesão Corporal (outros),"Lesão Corporal Provocada por Socos, Tapas e Pontapés",10,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Cumprimento de Mandado de Prisão,Proveniente de Prisão Preventiva da Unidade Policial,8,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N3,Furto no Interior de Estabelecimento Comercial,Furto a Estabelecimento Comercial,8,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Proveniente de Prisão Preventiva da Unidade Policial,Cumprimento de Mandado de Prisão,8,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N3,Furto outros,Furto a Transeunte,8,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Estelionato (outros),Estelionato com Emprego de Cartão de Crédito,7,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Roubo no Interior de Estabelecimento Comercial,Roubo a Estabelecimento Comercial,7,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Difamação,Calúnia,7,Delitos relacionados,Delitos relacionados
N3,Encontro de Desaparecido,Desaparecimento outros,6,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N3,Lesão Corporal Culposa (outros) (Lei 9503/97),Lesão Corporal Culposa Provocada por Atropelamento,6,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Vias de Fato,Lesão Corporal (outros),6,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio Provocado por Projétil de Arma de Fogo - Tentativa,5,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Roubo outros,Roubo no Interior de Veículo,5,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,"Lesão Corporal Provocada por Socos, Tapas e Pontapés",Lesão Corporal (outros),5,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
N3,Roubo a Transeunte,Roubo de Telefone Celular,4,Categoria genérica e subtipo específico,Delitos relacionados
N3,Roubo a Transeunte,Roubo outros,4,Categoria genérica e subtipo específico,Categoria genérica e subtipo específico
